Fondsposition per,"02.Feb.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NVDA","NVIDIA CORP","IT","Aktien","464.895.325,29","5,30","464.895.325,29","2.504.689,00","185,61","Vereinigte Staaten","NASDAQ","USD"
"AAPL","APPLE INC","IT","Aktien","413.022.956,58","4,71","413.022.956,58","1.529.658,00","270,01","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","307.905.570,01","3,51","307.905.570,01","727.273,00","423,37","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","240.370.775,28","2,74","240.370.775,28","989.343,00","242,96","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","205.660.315,41","2,35","205.660.315,41","598.389,00","343,69","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","173.449.865,10","1,98","173.449.865,10","502.899,00","344,90","Vereinigte Staaten","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Kommunikation","Aktien","157.978.000,35","1,80","157.978.000,35","223.635,00","706,41","Vereinigte Staaten","NASDAQ","USD"
"AVGO","BROADCOM INC","IT","Aktien","153.165.194,91","1,75","153.165.194,91","462.581,00","331,11","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","122.884.220,06","1,40","122.884.220,06","291.326,00","421,81","Vereinigte Staaten","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","87.334.579,50","1,00","87.334.579,50","283.425,00","308,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","86.386.095,55","0,99","86.386.095,55","82.735,00","1.044,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","69.240.985,26","0,79","69.240.985,26","142.094,00","487,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","60.814.897,60","0,69","60.814.897,60","439.414,00","138,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
