# ETF Metadata
ISIN,IE00B3F81R35
Name,iShares Core € Corp Bond ETF EUR Dist
Ticker,IEAG
Type,Bond
Region,
Currency,EUR
TER,0.09
Last Updated,2026-03-03
Source,Morningstar (auto)

# Country Allocation (%)
Country,Weight
AUS,3.3
AUT,2.4
BEL,3.9
CAN,1.9
CHE,6.8
CHN,0.1
CYP,0.0
CZE,0.5
DEU,26.2
DNK,4.2
ESP,11.5
EST,0.1
FIN,2.7
FRA,39.6
GBR,18.7
GRC,0.9
HKG,0.3
HRV,0.0
HUN,0.3
IRL,1.5
ISL,0.1
ITA,11.0
JPN,3.6
KOR,0.0
LTU,0.1
LUX,0.5
LVA,0.0
MEX,0.1
NLD,10.8
NOR,1.4
NZL,0.6
POL,0.6
PRT,1.1
ROU,0.2
SGP,0.1
SVK,0.1
SVN,0.1
SWE,5.7
TWN,0.0
USA,38.9

# Sector Allocation (%)
Sector,Weight
Corporate,199.7
Securitized,0.3
Cash,99.9

# Currency Allocation (%)
Currency,Weight
EUR,115.7
USD,42.3
GBP,18.7
SEK,5.7
JPY,3.6
AUD,2.4
CAD,1.9
NOK,1.4
PLN,0.6
NZD,0.6
CZK,0.5
HKD,0.3
HUF,0.3
RON,0.2
MXN,0.1
ISK,0.1
SGD,0.1
VND,0.1
CHF,0.1
TWD,0.0
KRW,0.0

# Top Holdings
Name,Weight,Currency,Sector,Country,ISIN
Anheuser-Busch Inbev SA/NV 2%,0.10,EUR,Unknown,BEL,BE6285455497
Anheuser-Busch Inbev SA/NV 2.75%,0.09,EUR,Unknown,BEL,BE6285457519
JPMorgan Chase & Co. 1.963%,0.08,EUR,Unknown,USA,XS2461234622
Volkswagen International Finance N.V. 1.875%,0.08,EUR,Unknown,DEU,XS1586555945
Verizon Communications Inc. 3.9962%,0.08,EUR,Unknown,USA,XS3226542861
BP Capital Markets PLC 3.625%,0.08,EUR,Unknown,GBR,XS2193662728
UBS Group AG 7.75%,0.08,EUR,Unknown,CHE,CH1214797172
JPMorgan Chase & Co. 4.457%,0.07,EUR,Unknown,USA,XS2717291970
Banco Santander SA 4.875%,0.07,EUR,Unknown,ESP,XS2705604234
Morgan Stanley 1.875%,0.07,EUR,Unknown,USA,XS1603892149
Morgan Stanley 4.656%,0.07,EUR,Unknown,USA,XS2595028536
Sanofi SA 1.375%,0.07,EUR,Unknown,FRA,FR0013324357
"Goldman Sachs Group, Inc. 3.5094%",0.07,EUR,Unknown,USA,XS3299472202
Morgan Stanley 5.148%,0.07,EUR,Unknown,USA,XS2548081053
JPMorgan Chase & Co. 3.588%,0.07,EUR,Unknown,USA,XS2986317506
Orange SA 8.125%,0.07,EUR,Unknown,FRA,FR0000471930
Banco Santander SA 3.25%,0.07,EUR,Unknown,ESP,XS2908735504
Credit Agricole S.A. 2.625%,0.07,EUR,Unknown,FRA,XS1204154410
Axa SA 3.25%,0.07,EUR,Unknown,FRA,XS1799611642
Morgan Stanley 3.955%,0.07,EUR,Unknown,USA,XS2790333889
JPMorgan Chase & Co. 3.761%,0.07,EUR,Unknown,USA,XS2791972248
"Goldman Sachs Group, Inc. 4.142%",0.07,EUR,Unknown,USA,XS3299472467
HSBC Holdings PLC 4.856%,0.06,EUR,Unknown,GBR,XS2621539910
Morgan Stanley 3.383%,0.06,EUR,Unknown,USA,XS3281048499
Anheuser-Busch Inbev SA/NV 3.7%,0.06,EUR,Unknown,BEL,BE6320936287
Other Holdings,98.20,Mixed,Diversified,Mixed,

