# ETF Metadata
ISIN,IE00B8GKDB10
Name,Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing
Ticker,VGWD
Type,Stock
Region,World
Currency,USD
TER,0.91
Last Updated,2026-02-09
Source,justETF (auto-generated)

# Country Allocation (%)
Country,Weight
United States,37.0
Japan,8.8
United Kingdom,6.2
Switzerland,4.7
Canada,4.0
France,3.6
Germany,3.4
Australia,3.2
China,3.2
Taiwan,2.2
South Korea,2.0
Spain,1.9
Italy,1.4
Sweden,1.4
Hong Kong,1.3
Ireland,1.2
Other,14.6

# Sector Allocation (%)
Sector,Weight
Financials,28.4
Industrials,11.3
Health Care,10.4
Technology,8.2
Consumer Staples,8.1
Energy,7.5
Consumer Discretionary,7.4
Utilities,5.3
Basic Materials,4.6
Telecommunication,3.3
Real Estate,0.8
Other,4.6

# Currency Allocation (%) - auto-derived from countries
Currency,Weight
USD,37.0
EUR,11.5
JPY,8.8
GBP,6.2
CHF,4.7
CAD,4.0
AUD,3.2
CNY,3.2
TWD,2.2
KRW,2.0
SEK,1.4
HKD,1.3
Other,14.6

# Top Holdings
Name,Weight,Currency,Sector,Country,ISIN
JPMorgan Chase & Co.,2.28,USD,Unknown,US,
Exxon Mobil Corp.,1.32,USD,Unknown,US,
Johnson & Johnson,1.30,USD,Unknown,US,
"AbbVie, Inc.",1.06,USD,Unknown,US,
Bank of America Corp.,0.95,USD,Unknown,US,
Home Depot,0.93,USD,Unknown,US,
Procter & Gamble Co.,0.91,USD,Unknown,US,
"Samsung Electronics Co., Ltd.",0.84,KRW,Unknown,KR,
"Cisco Systems, Inc.",0.80,USD,Unknown,US,
UnitedHealth Group,0.79,USD,Unknown,US,
Other Holdings,88.82,Mixed,Diversified,Mixed,

